site,block,plot,time_month,treatment,species,number_recovered,number_original,number_herbivorized,notes,pct_recovered,mean_1seed,sd_1seed,number_lost
mo,3,14,0.25,carpet,ECHPAL,18,20,NA,NA,0.9,0.0045968,1.8277660924989524e-4,2
mo,3,14,0.25,carpet,SCHSCO,19,20,NA,NA,0.95,0.0018332,1.1412351982732469e-4,1
mo,3,14,0.25,sticky,RUDHIR,20,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,1,2.5e-4,1.0198039027185568e-5,0
mo,3,14,0.25,sticky,CORTIN,20,20,NA,didn't get sprayed well so I think the smooth stuff didn't stick,1,2.148e-4,1.3603921003397022e-5,0
mo,3,14,0.25,carpet,LESCAP,20,20,NA,NA,1,0.00328,9.864864700316754e-5,0
mo,3,14,0.25,carpet,SPOHET,20,20,NA,NA,1,0.001996,8.69635939153084e-5,0
mo,3,16,1,carpet,CORTIN,1,20,NA,NA,0.05,2.148e-4,1.3603921003397022e-5,19
mo,3,16,1,carpet,RUDHIR,2,20,NA,NA,0.1,2.5e-4,1.0198039027185568e-5,18
mo,3,16,1,carpet,TRIPER,4,20,NA,NA,0.2,2.48e-5,1.6865480854231363e-6,16
mo,3,16,1,sticky,TRIPER,11,20,NA,rabbit poop,0.55,2.48e-5,1.6865480854231363e-6,9
mo,3,16,1,carpet,DESCAN,11,20,NA,NA,0.55,0.00442,3.0210520610468724e-4,9
mo,3,16,1,sticky,DESCAN,14,20,3,rabbit poop,0.7,0.00442,3.0210520610468724e-4,6
mo,3,16,1,sticky,ECHPAL,14,20,NA,rabbit poop,0.7,0.0045968,1.8277660924989524e-4,6
mo,3,16,1,sticky,RUDHIR,14,20,NA,rabbit poop,0.7,2.5e-4,1.0198039027185568e-5,6
mo,3,16,1,sticky,CORTIN,15,20,NA,rabbit poop,0.75,2.148e-4,1.3603921003397022e-5,5
mo,3,16,1,carpet,LESCAP,15,20,NA,NA,0.75,0.00328,9.864864700316754e-5,5
mo,3,16,1,sticky,SCHSCO,17,20,NA,rabbit poop,0.85,0.0018332,1.1412351982732469e-4,3
mo,3,16,1,sticky,LESCAP,18,20,NA,rabbit poop,0.9,0.00328,9.864864700316754e-5,2
mo,3,16,1,sticky,SPOHET,18,20,NA,rabbit poop,0.9,0.001996,8.69635939153084e-5,2
mo,3,16,1,carpet,ECHPAL,18,20,NA,NA,0.9,0.0045968,1.8277660924989524e-4,2
mo,3,16,1,carpet,SCHSCO,19,20,NA,NA,0.95,0.0018332,1.1412351982732469e-4,1
mo,3,16,1,carpet,SPOHET,20,20,NA,NA,1,0.001996,8.69635939153084e-5,0
mo,3,18,2,sticky,ECHPAL,1,20,NA,NA,0.05,0.0045968,1.8277660924989524e-4,19
mo,3,18,2,carpet,DESCAN,2,20,9,NA,0.1,0.00442,3.0210520610468724e-4,18
mo,3,18,2,sticky,DESCAN,3,20,NA,NA,0.15,0.00442,3.0210520610468724e-4,17
